ID;Name;Longitude_WGS84;Latitude_WGS84;NameOfStation;Line;ModeOnEvenDays;ModeOnOddDays;FullFeaturedBPAAmount;LittleFunctionalBPAAmount;BPAAmount;RepairOfEscalators;global_id;geoData
925;Войковская, вход-выход 4 в южный вестибюль;37.4981752;55.8179301;Войковская;Замоскворецкая линия;"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:57:15, по 2 пути в 05:46:35; последний поезд по 1 пути в 01:55:55, по 2 пути в 01:08:35";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:57:15, по 2 пути в 05:46:35; последний поезд по 1 пути в 01:55:55, по 2 пути в 01:08:35";;5;5;;59715015;{type=Point, coordinates=[37.4981752, 55.8179301]}
926;Воробьёвы горы, вход-выход 3 в южный вестибюль;37.5576425;55.7094701;Воробьёвы горы;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:55:10, по 2 пути в 05:46:50; последний поезд по 1 пути в 01:35:15, по 2 пути в 01:34:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:00, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:35:15, по 2 пути в 01:34:00";9;0;9;;59715017;{type=Point, coordinates=[37.5576425, 55.7094701]}
927;Лубянка, вход-выход 11 в южный вестибюль (Детский мир);37.625138;55.759845;Лубянка;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути в 06:00:00; последний поезд по 1 пути в 01:21:30, по 2 пути в 01:47:39";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:38:50, по 2 пути в 05:59:00; последний поезд по 1 пути в 01:21:30, по 2 пути в 01:47:39";0;4;4;26.11.2020-31.12.2020;59715019;{type=Point, coordinates=[37.625138, 55.759845]}
908;Новые Черёмушки, вход-выход 30 в южный вестибюль;37.5534261;55.6694562;Новые Черёмушки;Калужско-Рижская линия;"открытие в 05:23:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:25, по 2 пути в 05:53:10; последний поезд по 1 пути в 01:17:40, по 2 пути в 01:43:55";"открытие в 05:20:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:50, по 2 пути в 05:52:10; последний поезд по 1 пути в 01:18:15, по 2 пути в 01:45:17";0;2;2;;60817812;{type=Point, coordinates=[37.5534261, 55.6694562]}
922;Павелецкая, выход 2 из вестибюля Кольцевой линии;37.6358771;55.7316865;Павелецкая;Кольцевая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:30, по 2 пути в 05:46:45; последний поезд по 1 пути в 01:39:30, по 2 пути в 01:30:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:51:30; последний поезд по 1 пути в 01:42:00, по 2 пути в 01:24:00";;6;6;;60825992;{type=Point, coordinates=[37.6358771, 55.7316865]}
910;Киевская, вход-выход 4 в вестибюль;37.567234;55.7443435;Киевская;Кольцевая линия;"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:38:05, по 2 пути в 01:15:30";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:40, по 2 пути в 05:47:25; последний поезд по 1 пути в 01:27:20, по 2 пути в 01:22:00";;5;5;31.10.2019-29.11.2019;60825995;{type=Point, coordinates=[37.567234, 55.7443435]}
909;Киевская,вход-выход 2 в вестибюль;37.5669578;55.7441049;Киевская;Кольцевая линия;"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:38:05, по 2 пути в 01:15:30";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:40, по 2 пути в 05:47:25; последний поезд по 1 пути в 01:27:20, по 2 пути в 01:22:00";;5;5;31.10.2019-29.11.2019;60825996;{type=Point, coordinates=[37.5669578, 55.7441049]}
923;Комсомольская, вход 8 в вестибюль;37.6579115;55.7773725;Комсомольская;Кольцевая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:20, по 2 пути в 05:44:50; последний поезд по 1 пути в 01:27:00, по 2 пути в 01:32:10";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:41:45, по 2 пути в 05:46:20; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:38:40";;8;8;02.12.2020-17.12.2020;60825998;{type=Point, coordinates=[37.6579115, 55.7773725]}
928;Технопарк, вход-выход 2 в северный вестибюль;37.664749;55.692807;Технопарк;Замоскворецкая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:55, по 2 пути в 05:46:40; последний поезд по 1 пути в 01:28:35, по 2 пути в 01:23:05";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:55, по 2 пути в 05:46:40; последний поезд по 1 пути в 01:28:35, по 2 пути в 01:37:15";;17;17;;62781663;{type=Point, coordinates=[37.664749, 55.692807]}
929;Технопарк, вход-выход 4 в северный вестибюль;37.664490;55.694716;Технопарк;Замоскворецкая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:46:00; последний поезд по 1 пути в 01:28:00, по 2 пути в 01:41:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:46:00; последний поезд по 1 пути в 01:28:00, по 2 пути в 01:41:00";2;2;4;;62781717;{type=Point, coordinates=[37.66449, 55.694716]}
